country,surface_area,population,population_density,gdp_gross_domestic_product,gdp_growth_rate,gdp_per_capita,trade_export,trade_import,co2_emission_estimates,energy_production_primary,capacity_mw,capacity_factor,generation,generation_biomass,generation_coal,generation_gas,generation_geothermal,generation_hydro,generation_nuclear,generation_oil,generation_solar,generation_waste,generation_wind,emission_per_capita,economy_agriculture,economy_industry,economy_services_and_other
bangladesh,147570.0,164670000,1265.0,194466,6.6,1207.9,36031.0,52624.0,1438,3055555.5555555555,11840.0,30.965571936008075,67770.10800000001,0.0,0.013314424701816912,0.8545953623092942,0.0,0.012311858791784716,0.0,0.118820822891414,0.0009575313056901133,0.0,0.0,8.732616748648812e-06,0,0,1
belarus,207600.0,9468000,46.7,54609,-3.9,5750.8,23414.0,27464.0,155,33888888.88888889,8534.9,9.037766429276855,33963.612,0.0,0.0,0.9898690987283684,0.0,0.0,0.0,0.0,0.010130901271631533,0.0,0.0,1.63709336713139e-05,0,0,1
belgium,30528.0,11429000,377.5,455107,1.5,40277.8,398033.0,372713.0,520,54444444.44444444,13404.8,22.998690896290302,62355.025200000004,0.02429174973161051,0.019143092255538053,0.25446435069358286,0.0,0.036656352758558414,0.6085284419600128,0.0006716379291913108,0.0027175035124514706,0.006010742499066459,0.0475161286599881,4.549829381398198e-05,0,0,1
benin,114763.0,11176000,99.1,8476,5.2,779.1,410.0,2630.0,96,4722222.222222222,60.5,0.37983750493263435,102.42,0.0,0.0,0.6919546963483695,0.0,0.0,0.0,0.3080453036516305,0.0,0.0,0.0,8.589835361488904e-06,0,0,1
bhutan,38394.0,808000,21.2,2074,5.2,2677.1,616.0,1688.0,75,22777777.777777776,1482.2,2.111106970548701,5374.280000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.282178217821782e-05,0,1,0
bolivia,1098581.0,11052000,10.2,32998,4.8,3076.8,6969.0,8374.0,962,8888888.888888888,1563.1200000000001,10.52922473604225,6923.322,0.0,0.0,0.7925111673268987,0.0,0.18972452819614632,0.0,0.0,0.01776430447695485,0.0,0.0,8.704306912775968e-05,0,0,1
bosnia and herzegovina,51209.0,3507000,68.8,16251,3.1,4265.0,5327.0,9130.0,252,23611111.111111112,3985.5,8.735253396212867,17616.69,0.0,0.6081829219904534,0.0,0.0,0.3918170780095466,0.0,0.0,0.0,0.0,0.0,7.18562874251497e-05,0,0,1
botswana,582000.0,2292000,4.0,14391,-0.3,6360.6,7321.0,6103.0,47,12222222.222222222,746.0,0.9144194300970632,2987.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0506108202443282e-05,0,0,1
brazil,8515767.0,209288000,25.0,1772591,-3.8,8528.3,185235.0,137552.0,10948,16944444.444444444,147589.27133,720.7561103235232,548698.9838333334,0.0,0.03809046602198267,0.135587311425745,0.0,0.6905242203165577,0.02768261004218256,0.029817241296312552,0.00838260467430311,0.0,0.06930508400252024,5.231069148732847e-05,0,0,1
brunei darussalam,5765.0,429000,81.3,12930,-0.6,30552.7,4875.0,2679.0,679,99166666.66666667,586.0,2.0260166414648886,2600.0699999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015827505827505828,0,1,0
